Date,MTO.L
2019-12-10,70.00096130371094
2019-12-11,70.4641342163086
2019-12-12,71.03034210205078
2019-12-13,76.2289810180664
2019-12-16,76.69224548339844
2019-12-17,78.75100708007812
2019-12-18,79.3687744140625
2019-12-19,73.97058868408203
2019-12-20,73.09552001953125
2019-12-23,73.66178894042969
2019-12-24,75.36048889160156
2019-12-27,74.38245391845703
2019-12-30,74.12499237060547
2019-12-31,74.63981628417969
2020-01-02,74.58828735351562
2020-01-03,73.55882263183594
2020-01-06,74.536865234375
2020-01-07,74.84564971923828
2020-01-08,71.75713348388672
2020-01-09,73.1469497680664
2020-01-10,72.0145034790039
2020-01-13,70.7276611328125
2020-01-14,68.565673828125
2020-01-15,67.63906860351562
2020-01-16,68.46269989013672
2020-01-17,69.18335723876953
2020-01-20,67.69058990478516
2020-01-21,68.46269989013672
2020-01-22,66.8155288696289
2020-01-23,66.5066146850586
2020-01-24,69.23480987548828
2020-01-27,69.54369354248047
2020-01-28,66.0948486328125
2020-01-29,67.27871704101562
2020-01-30,68.51412200927734
2020-01-31,68.41127014160156
2020-02-03,70.2643814086914
2020-02-04,69.02896118164062
2020-02-05,71.75713348388672
2020-02-06,72.16891479492188
2020-02-07,70.62470245361328
2020-02-10,71.2938461303711
2020-02-11,69.28633117675781
2020-02-12,70.31580352783203
2020-02-13,69.64666748046875
2020-02-14,68.82302856445312
2020-02-17,69.23480987548828
2020-02-18,68.87446594238281
2020-02-19,69.95545959472656
2020-02-20,68.9260025024414
2020-02-21,67.99938201904297
2020-02-24,69.49215698242188
2020-02-25,69.49215698242188
2020-02-26,69.59513092041016
2020-02-27,69.49215698242188
2020-02-28,71.96308135986328
2020-03-02,70.31580352783203
2020-03-03,73.24990844726562
2020-03-04,72.58078002929688
2020-03-05,73.86761474609375
2020-03-06,74.176513671875
2020-03-09,68.9260025024414
2020-03-10,69.49215698242188
2020-03-11,68.9774169921875
2020-03-12,61.513465881347656
2020-03-13,55.387882232666016
2020-03-16,47.923912048339844
2020-03-17,53.22587203979492
2020-03-18,59.24849319458008
2020-03-19,48.67025375366211
2020-03-20,44.29480743408203
2020-03-23,35.775604248046875
2020-03-24,38.37514877319336
2020-03-25,33.58782958984375
2020-03-26,33.43342971801758
2020-03-27,31.992094039916992
2020-03-30,30.087547302246094
2020-03-31,33.459197998046875
2020-04-01,32.22378921508789
2020-04-02,35.4152717590332
2020-04-03,34.437232971191406
2020-04-06,35.003501892089844
2020-04-07,36.23890686035156
2020-04-08,35.775604248046875
2020-04-09,34.231300354003906
2020-04-14,36.34187316894531
2020-04-15,35.20933532714844
2020-04-16,35.157901763916016
2020-04-17,34.90053176879883
2020-04-20,35.672637939453125
2020-04-21,34.4886589050293
2020-04-22,34.643165588378906
2020-04-23,34.746028900146484
2020-04-24,32.944461822509766
2020-04-27,33.3047981262207
2020-04-28,35.4152717590332
2020-04-29,36.95957565307617
2020-04-30,38.1434440612793
2020-05-01,37.5772819519043
2020-05-04,36.0329704284668
2020-05-05,36.34187316894531
2020-05-06,36.34187316894531
2020-05-07,36.908042907714844
2020-05-11,37.42277526855469
2020-05-12,41.232059478759766
2020-05-13,39.37885284423828
2020-05-14,36.702205657958984
2020-05-15,37.062442779541016
2020-05-18,37.5772819519043
2020-05-19,35.2608642578125
2020-05-20,36.084407806396484
2020-05-21,35.466705322265625
2020-05-22,37.011009216308594
2020-05-26,37.062442779541016
2020-05-27,37.062442779541016
2020-05-28,36.0329704284668
2020-05-29,36.290340423583984
2020-06-01,37.062442779541016
2020-06-02,36.084407806396484
2020-06-03,38.55531692504883
2020-06-04,38.915645599365234
2020-06-05,41.69525909423828
2020-06-08,45.35004806518555
2020-06-09,43.75429916381836
2020-06-10,43.23956298828125
2020-06-11,39.99665451049805
2020-06-12,39.8936882019043
2020-06-15,39.6877555847168
2020-06-16,40.665794372558594
2020-06-17,39.63631820678711
2020-06-18,40.15105438232422
2020-06-19,40.15105438232422
2020-06-22,40.665794372558594
2020-06-23,41.54085922241211
2020-06-24,41.18052291870117
2020-06-25,48.69601821899414
2020-06-26,42.77626419067383
2020-06-29,42.570430755615234
2020-06-30,42.879234313964844
2020-07-01,44.3205680847168
2020-07-02,43.75429916381836
2020-07-03,43.23956298828125
2020-07-06,43.44549560546875
2020-07-07,43.29110336303711
2020-07-08,42.72483444213867
2020-07-09,42.21009063720703
2020-07-10,43.23956298828125
2020-07-13,43.59990310668945
2020-07-14,43.843387603759766
2020-07-15,44.742225646972656
2020-07-16,40.94712829589844
2020-07-17,36.9522819519043
2020-07-20,35.803768157958984
2020-07-21,35.70389938354492
2020-07-22,35.004798889160156
2020-07-23,37.95099639892578
2020-07-24,36.9522819519043
2020-07-27,37.251895904541016
2020-07-28,38.05086135864258
