Date,GE
2021-01-21,54.06266784667969
2021-01-22,54.25800704956055
2021-01-25,53.671958923339844
2021-01-26,55.137081146240234
2021-01-27,55.57661437988281
2021-01-28,54.16033935546875
2021-01-29,52.158016204833984
2021-02-01,52.4510383605957
2021-02-02,54.892887115478516
2021-02-03,54.69754409790039
2021-02-04,55.91847610473633
2021-02-05,55.674285888671875
2021-02-08,56.699867248535156
2021-02-09,56.358009338378906
2021-02-10,55.674285888671875
2021-02-11,55.96731185913086
2021-02-12,57.28592300415039
2021-02-16,58.45800018310547
2021-02-17,57.920799255371094
2021-02-18,56.79754638671875
2021-02-19,58.702186584472656
2021-02-22,61.046363830566406
2021-02-23,61.48590087890625
2021-02-24,64.07427215576172
2021-02-25,62.31613540649414
2021-02-26,61.24171829223633
2021-03-01,64.02543640136719
2021-03-02,63.39055252075195
2021-03-03,65.63702392578125
2021-03-04,66.27194213867188
2021-03-05,66.46741485595703
2021-03-08,69.2531967163086
2021-03-09,68.42234802246094
2021-03-10,64.75685119628906
2021-03-11,59.96729278564453
2021-03-12,61.48237228393555
2021-03-15,65.24559020996094
2021-03-16,64.26811981201172
2021-03-17,66.51629638671875
2021-03-18,64.75685119628906
2021-03-19,64.61026000976562
2021-03-22,64.17037963867188
2021-03-23,61.87335205078125
2021-03-24,61.09138107299805
2021-03-25,62.80195236206055
2021-03-26,63.486175537109375
2021-03-29,63.290687561035156
2021-03-30,65.0012435913086
2021-03-31,64.17037963867188
2021-04-01,64.90348815917969
2021-04-05,65.78319549560547
2021-04-06,65.48995971679688
2021-04-07,65.44108581542969
2021-04-08,65.73433685302734
2021-04-09,66.46741485595703
2021-04-12,66.4185562133789
2021-04-13,65.68543243408203
2021-04-14,66.85841369628906
2021-04-15,66.22306823730469
2021-04-16,65.44108581542969
2021-04-19,65.78319549560547
2021-04-20,63.828269958496094
2021-04-21,65.24559020996094
2021-04-22,65.5388412475586
2021-04-23,66.22306823730469
2021-04-26,66.32080841064453
2021-04-27,65.92982482910156
2021-04-28,64.51251220703125
2021-04-29,64.56137084960938
2021-04-30,64.12152099609375
2021-05-03,65.73433685302734
2021-05-04,64.12152099609375
2021-05-05,64.56137084960938
2021-05-06,64.56137084960938
2021-05-07,65.0012435913086
2021-05-10,65.24559020996094
2021-05-11,63.97488784790039
2021-05-12,62.65533447265625
2021-05-13,63.38841247558594
2021-05-14,64.80574035644531
2021-05-17,64.26811981201172
2021-05-18,63.38841247558594
2021-05-19,63.97488784790039
2021-05-20,63.828269958496094
2021-05-21,64.65909576416016
2021-05-24,64.41476440429688
2021-05-25,64.12152099609375
2021-05-26,65.48995971679688
2021-05-27,70.13290405273438
2021-05-28,68.71558380126953
2021-06-01,69.15544128417969
2021-06-02,68.86222076416016
2021-06-03,68.86222076416016
2021-06-04,68.22685241699219
2021-06-07,67.98249816894531
2021-06-08,67.93360900878906
2021-06-09,67.102783203125
2021-06-10,66.61405181884766
2021-06-11,66.90727233886719
2021-06-14,65.83208465576172
2021-06-15,66.17418670654297
2021-06-16,65.68543243408203
2021-06-17,63.53504943847656
2021-06-18,62.459835052490234
2021-06-21,64.46363067626953
2021-06-22,63.68165969848633
2021-06-23,63.290687561035156
2021-06-24,64.26811981201172
2021-06-25,64.36595916748047
2021-06-28,63.04538345336914
2021-06-29,64.02359771728516
2021-06-30,65.833251953125
2021-07-01,65.93107604980469
2021-07-02,65.34416198730469
2021-07-06,63.192100524902344
2021-07-07,63.485572814941406
2021-07-08,62.94755554199219
2021-07-09,64.36595916748047
2021-07-12,64.12140655517578
2021-07-13,63.04538345336914
2021-07-14,62.654090881347656
2021-07-15,62.409542083740234
2021-07-16,61.382423400878906
2021-07-19,58.69236755371094
2021-07-20,62.11608123779297
2021-07-21,63.974666595458984
2021-07-22,62.11608123779297
2021-07-23,62.16499710083008
2021-07-26,63.192100524902344
2021-07-27,63.974666595458984
2021-07-28,64.21923065185547
2021-07-29,65.00180053710938
2021-07-30,63.338836669921875
2021-08-02,61.50471115112305
2021-08-03,63.00869369506836
2021-08-04,62.91698455810547
2021-08-05,62.9842414855957
2021-08-06,63.90129852294922
2021-08-09,63.40610122680664
2021-08-10,64.85506439208984
2021-08-11,64.83060455322266
2021-08-12,65.12406921386719
2021-08-13,64.14585876464844
2021-08-16,63.18599319458008
2021-08-17,62.1283073425293
2021-08-18,61.99992370605469
2021-08-19,60.78327941894531
2021-08-20,61.16844177246094
