Date,BAG.L
2022-08-17,528.5951538085938
2022-08-18,529.5942993164062
2022-08-19,530.5936279296875
2022-08-22,534.590576171875
2022-08-23,518.602783203125
2022-08-24,520.6011962890625
2022-08-25,513.6065063476562
2022-08-26,514.6058959960938
2022-08-30,511.6081237792969
2022-08-31,502.6150207519531
2022-09-01,495.620361328125
2022-09-02,496.6196594238281
2022-09-05,493.6219482421875
2022-09-06,500.6165466308594
2022-09-07,498.61810302734375
2022-09-08,503.6142578125
2022-09-09,510.6089172363281
2022-09-12,516.6043090820312
2022-09-13,513.6065063476562
2022-09-14,508.6104431152344
2022-09-15,494.6211853027344
2022-09-16,489.6249694824219
2022-09-20,495.1207580566406
2022-09-21,494.6211853027344
2022-09-22,502.6150207519531
2022-09-23,491.6234436035156
2022-09-26,489.7768859863281
2022-09-27,491.12384033203125
2022-09-28,466.6426086425781
2022-09-29,453.65252685546875
2022-09-30,455.1513977050781
2022-10-03,455.6510009765625
2022-10-04,466.6426086425781
2022-10-05,461.64642333984375
2022-10-06,466.6678771972656
2022-10-07,467.1675109863281
2022-10-10,447.68133544921875
2022-10-11,451.1788635253906
2022-10-12,455.1759948730469
2022-10-13,448.1809997558594
2022-10-14,453.6770935058594
2022-10-17,461.6714172363281
2022-10-18,454.1767578125
2022-10-19,448.1809997558594
2022-10-20,448.1809997558594
2022-10-21,431.6927490234375
2022-10-24,437.6884460449219
2022-10-25,442.185302734375
2022-10-26,448.6806335449219
2022-10-27,441.6856384277344
2022-10-28,439.6870422363281
2022-10-31,448.6806335449219
2022-11-01,448.1809997558594
2022-11-02,456.1753234863281
2022-11-03,434.69061279296875
2022-11-04,437.6884460449219
2022-11-07,446.18243408203125
2022-11-08,447.68133544921875
2022-11-09,449.6799621582031
2022-11-10,464.6692810058594
2022-11-11,476.1611022949219
2022-11-14,474.66217041015625
2022-11-15,474.66217041015625
2022-11-16,477.6600341796875
2022-11-17,476.6607360839844
2022-11-18,493.648681640625
2022-11-21,491.1504211425781
2022-11-22,495.1475524902344
2022-11-23,505.6401062011719
2022-11-24,503.6415100097656
2022-11-25,505.6401062011719
2022-11-28,500.6436462402344
2022-11-29,503.6415100097656
2022-11-30,504.64080810546875
2022-12-01,503.6415100097656
2022-12-02,504.64080810546875
2022-12-05,537.6173095703125
2022-12-06,524.6266479492188
2022-12-07,522.6279907226562
2022-12-08,509.6372375488281
2022-12-09,506.6393737792969
2022-12-12,499.6443786621094
2022-12-13,504.64080810546875
2022-12-14,514.6337280273438
2022-12-15,526.6251220703125
2022-12-16,540.6152954101562
2022-12-19,516.6322631835938
2022-12-20,515.633056640625
2022-12-21,515.633056640625
2022-12-22,513.6343383789062
2022-12-23,525.6259155273438
2022-12-28,535.6187744140625
2022-12-29,537.6173095703125
2022-12-30,532.6209106445312
2023-01-03,540.6152954101562
2023-01-04,547.6101684570312
2023-01-05,547.6101684570312
2023-01-06,541.6144409179688
2023-01-09,538.6166381835938
2023-01-10,535.6187744140625
2023-01-11,545.6116333007812
2023-01-12,550.608154296875
2023-01-13,547.6101684570312
2023-01-16,544.6123657226562
2023-01-17,541.6144409179688
2023-01-18,534.6195068359375
2023-01-19,530.6223754882812
2023-01-20,530.6223754882812
2023-01-23,526.6251220703125
2023-01-24,528.623779296875
2023-01-25,522.6279907226562
2023-01-26,520.62939453125
2023-01-27,523.6273193359375
2023-01-30,526.6251220703125
2023-01-31,549.60888671875
2023-02-01,541.6144409179688
2023-02-02,554.6052856445312
2023-02-03,546.6109619140625
2023-02-06,552.6066284179688
2023-02-07,542.61376953125
2023-02-08,551.6073608398438
2023-02-09,551.6073608398438
2023-02-10,549.60888671875
2023-02-13,552.6066284179688
2023-02-14,542.61376953125
2023-02-15,545.6116333007812
2023-02-16,544.6123657226562
2023-02-17,543.6130981445312
2023-02-20,549.60888671875
2023-02-21,552.6066284179688
2023-02-22,551.6073608398438
2023-02-23,549.60888671875
2023-02-24,552.6066284179688
2023-02-27,560.6010131835938
2023-02-28,555.6046142578125
2023-03-01,549.60888671875
2023-03-02,548.6095581054688
2023-03-03,546.6109619140625
